c1_W_regularizer, c1_b_regularizer, c1_dropout, c1_filters, c1_width, c2_W_regularizer, c2_b_regularizer, c2_dropout, c2_filters, c2_width, d1_W_regularizer, d1_b_regularizer, d1_dropout, d1_size, d2_W_regularizer, d2_b_regularizer, d2_dropout, d2_size, embedding_W_regularizer, embedding_b_regularizer, embedding_dim, epochs, learning_rate, margin, auc
0.0001, 0.0001, 0.3, 16, 5, 0.1, 0.001, 0, 16, 3, 0.1, 0, 0.05, 256, 0.001, 0, 0.1, 256, 1e-05, 0.1, 16, 200, 0.0005, 15, 0.741926831017
0.1, 0.01, 0, 8, 5, 0.1, 0.0001, 0, 32, 8, 0.001, 0.0001, 0.1, 128, 0.01, 0.0001, 0.1, 128, 0, 0.1, 64, 200, 0.0005, 10, 0.657172866475
0.1, 0.01, 0, 8, 20, 0.0001, 0.1, 0.05, 32, 5, 0.01, 0.1, 0.1, 128, 0.001, 0.0001, 0.05, 256, 0.0001, 0, 16, 200, 0.002, 8, 0.680531359498
0.0001, 0.0001, 0.05, 8, 5, 0.1, 0.001, 0.1, 32, 8, 0.1, 0.0001, 0.1, 128, 0.1, 0.001, 0.1, 128, 0.0001, 0.001, 16, 200, 0.001, 10, 0.687902471175
0.1, 0.001, 0.05, 16, 10, 0.1, 0.01, 0.05, 0, 3, 0.001, 0.0001, 0.1, 256, 0.1, 0.001, 0.1, 128, 0.0001, 0.1, 64, 200, 0.0001, 8, 0.653459177827
0.0001, 0.1, 0.05, 8, 20, 0, 0.01, 0, 32, 8, 0.001, 0.0001, 0.05, 128, 0.001, 0.1, 0.05, 256, 0.0001, 0, 64, 200, 0.001, 15, 0.700870242434
0.1, 0.001, 0.05, 8, 20, 0.01, 0.0001, 0, 8, 8, 0.01, 0.1, 0.05, 128, 0.001, 0.001, 0.1, 128, 0.001, 0, 16, 200, 0.002, 15, 0.685886814941
0, 0.0001, 0, 8, 20, 0.0001, 0.1, 0.1, 8, 8, 0.001, 0.001, 0.1, 128, 0.01, 0.0001, 0.05, 256, 0.0001, 0.01, 64, 200, 0.0005, 8, 0.637138004682
0.0001, 0.1, 0.3, 16, 20, 0.001, 0.01, 0.1, 32, 3, 0.001, 0.0001, 0.1, 256, 0.01, 0, 0.05, 256, 1e-05, 0.001, 16, 200, 0.001, 8, 0.660108913503
0.1, 0.0001, 0, 16, 20, 0.1, 0.1, 0.05, 16, 3, 0.01, 0.01, 0.1, 128, 0.1, 0.1, 0.1, 128, 0, 0.1, 64, 200, 0.0001, 10, 0.680976419615
0.01, 0.01, 0, 8, 5, 0.01, 0.0001, 0.1, 16, 8, 0.1, 0.001, 0.1, 256, 0.001, 0.1, 0.05, 128, 0.0001, 0.0001, 64, 200, 0.002, 15, 0.681262944085
0.001, 0.1, 0, 16, 5, 0.001, 0.1, 0.05, 32, 3, 0.1, 0.0001, 0.1, 128, 0.1, 0.1, 0.05, 256, 0.0001, 0.0001, 16, 200, 0.0005, 15, 0.688640199331
0.1, 0.1, 0, 8, 10, 0.1, 0.01, 0.1, 16, 5, 0.01, 0.01, 0.05, 256, 0.1, 0, 0.05, 128, 0.0001, 0.1, 64, 200, 0.001, 10, 0.719989922969
0.1, 0.01, 0.05, 8, 20, 0, 0.001, 0, 32, 3, 0.001, 0.0001, 0.1, 128, 0.001, 0.1, 0.05, 128, 0, 0.0001, 64, 200, 0.0001, 8, 0.651917194691
0.01, 0.001, 0, 32, 20, 0.1, 0.1, 0.1, 16, 5, 0.001, 0.0001, 0.1, 256, 0.1, 0.001, 0.05, 256, 0.0001, 0.01, 16, 200, 0.0005, 8, 0.692763967903
0.0001, 0.001, 0.3, 16, 10, 0, 0.01, 0.1, 16, 3, 0.1, 0.001, 0.1, 256, 0.01, 0.001, 0.05, 128, 0.001, 0.0001, 64, 200, 0.002, 15, 0.698866005082
0.1, 0.01, 0, 32, 10, 0, 0.0001, 0.1, 8, 5, 0.001, 0.1, 0.1, 256, 0.01, 0.1, 0.05, 256, 0.0001, 0, 64, 200, 0.002, 15, 0.706461087333
0.0001, 0.0001, 0.1, 16, 5, 0.0001, 0.001, 0, 32, 5, 0.001, 0.001, 0.05, 256, 0.1, 0.001, 0.1, 128, 0, 0.001, 64, 200, 0.002, 10, 0.690648593787
0.0001, 0.1, 0.3, 16, 5, 0, 0.0001, 0.1, 16, 5, 0.1, 0.001, 0.1, 256, 0.1, 0.01, 0.1, 128, 0, 0, 64, 200, 0.002, 10, 0.696794280561
0.1, 0.001, 0.05, 8, 10, 0.0001, 0.1, 0.1, 0, 8, 0.1, 0, 0.1, 128, 0.001, 0.01, 0.05, 256, 1e-05, 0.01, 16, 200, 0.002, 15, 0.712768966953
0, 0.001, 0, 16, 10, 0, 0.001, 0, 0, 3, 0.001, 0, 0.05, 128, 0.01, 0.1, 0.1, 256, 0.001, 0.01, 64, 200, 0.0001, 10, 0.619159936038
0.0001, 0.0001, 0.3, 16, 10, 0.001, 0.1, 0, 8, 8, 0.01, 0.0001, 0.1, 256, 0.001, 0.1, 0.05, 256, 0, 0, 16, 200, 0.001, 8, 0.688494437571
0.0001, 0.001, 0.1, 16, 5, 0.1, 0.001, 0, 16, 8, 0.01, 0.1, 0.1, 128, 0.01, 0.01, 0.05, 256, 1e-05, 0.001, 64, 200, 0.0005, 15, 0.680895724431
0.001, 0.0001, 0, 16, 10, 0.001, 0.001, 0, 8, 3, 0.1, 0.1, 0.05, 128, 0.01, 0.01, 0.05, 128, 1e-05, 0.001, 16, 200, 0.002, 10, 0.659942129424
0, 0.1, 0.3, 8, 20, 0.001, 0.1, 0.1, 0, 5, 0.1, 0.0001, 0.1, 256, 0.01, 0.0001, 0.1, 128, 0, 0.01, 64, 200, 0.0005, 10, 0.708326311642
